Doctor_ID,Doctor_Name,Hospital,Region
DR-510398,Rachel Rangel,Peterson and Sons,us-west
DR-867773,Robert Robinson,"Stark, Holt and Gonzalez",us-west
DR-476797,Sara Fox,Richardson Inc,us-west
DR-139863,Daniel Jackson,"Rodriguez, Brown and Cooper",us-west
DR-272306,Timothy Owens,Snyder Ltd,us-west
DR-161431,Paul Rodriguez,Simmons Group,us-central
DR-635150,Cynthia Spencer,Evans and Sons,us-west
DR-502293,Michael Walker,Reed-Russell,us-west
DR-774138,Shannon Davis,Randall-Zamora,us-central
DR-515591,Gregory Allen,Patton and Sons,us-west
DR-984934,Jesse Nguyen,Castro Inc,us-west
DR-429598,Kristy Crawford,"Olson, Boyd and Hernandez",us-west
DR-445052,Sharon Cherry,Forbes Ltd,us-central
DR-290242,Jon Tanner,Green-Roman,us-west
DR-181322,Mallory Benson,Myers-Griffin,us-west
DR-116974,Sonia Jackson,Moore Group,us-west
DR-869624,Mr. Mario Lewis,Mcintyre-Ellis,us-central
DR-641986,Steven Wells,Kim-Haley,us-central
DR-618199,Hector Smith,Sawyer-Ellis,us-west
DR-793901,Javier Rodriguez,"Wade, Jackson and Barnes",us-central
DR-946329,Robert Jacobson,"Snyder, Perez and Stewart",us-central
DR-759968,Angela Sanchez,"Stewart, Adams and Davis",us-central
DR-274849,Raymond Fisher,Patterson-Bradshaw,us-central
DR-390613,Brandi Dominguez,Mullins-Brown,us-central
DR-347426,Katrina Gibson,"Haley, Grimes and Cruz",us-west
DR-928130,Angel Flores,"Solis, Peterson and Norman",us-west
DR-322182,Sharon King,"Campbell, Black and Ramirez",us-west
DR-671630,Nicole Hunter,Wilson and Sons,us-central
DR-462632,Joseph Holmes,Becker-Sellers,us-central
DR-542768,Elizabeth Moore,Ho Ltd,us-west
DR-899647,Crystal Santiago,Medina-Garcia,us-west
DR-816991,David Williams,Thompson PLC,us-west
DR-123719,Karen Branch,"Hernandez, Phillips and Walters",us-central
DR-315256,Hayley Barnes,"Allen, Mitchell and Brown",us-west
DR-588981,Leah Sanders,Morrow LLC,us-central
DR-752176,Sarah Johnson,Armstrong Inc,us-west
DR-782692,Tina Lee MD,"Tyler, Nielsen and Weaver",us-west
DR-819146,Joseph Ramos,Carr-Frazier,us-central
DR-260739,Tara Flynn,"Blackwell, Taylor and Vaughan",us-west
DR-638757,Amber Welch,"Johnston, Johnson and Nguyen",us-central
DR-747034,Dr. Michael Martin,Brewer-Hernandez,us-central
DR-468530,Crystal Bradley,"Ruiz, Gomez and Wang",us-central
DR-492664,Peter Johns,"Boyd, Lopez and Gonzalez",us-central
DR-474206,Christopher Burnett,Dodson LLC,us-west
DR-566170,John Smith,Browning Ltd,us-central
DR-591792,Jeremiah Williams,Blankenship-Smith,us-west
DR-211454,Matthew Williams,Jackson-Taylor,us-west
DR-470229,Edwin Sanchez,Johnson PLC,us-west
DR-758995,Stephen Colon,Strong-Hernandez,us-west
DR-595216,James Fitzgerald,"Schmitt, Munoz and Schneider",us-west
DR-244543,Taylor Jordan,Riggs-Cook,us-west
DR-594079,Francisco Cooper,Hunter-Hicks,us-central
DR-498474,Howard Fisher,"Flores, Lewis and Moore",us-west
DR-830715,Daniel Compton,"Mendoza, Thomas and Smith",us-west
DR-311393,Linda Jordan,"Brown, Gordon and Thomas",us-central
DR-688118,Peter Martin,Henderson and Sons,us-west
DR-953436,Mary Wolfe,"Blackwell, Waters and Johnson",us-central
DR-818065,Margaret Hamilton,Shaw Ltd,us-central
DR-460884,Patrick Peters,"Romero, Rhodes and Russo",us-central
DR-891257,Lauren Herrera,Oconnor Inc,us-central
DR-387997,Alexander Kemp,"Carrillo, Spencer and Miller",us-central
DR-226107,Kristi Chavez,"Murphy, Haynes and Anderson",us-west
DR-343084,Mary Knox,Mason-Stevenson,us-central
DR-121969,Edward Bryan,"Lawrence, Anderson and Ward",us-central
DR-920584,Robert Suarez,Williams and Sons,us-west
DR-318098,Daniel Brennan,Li-Waters,us-central
DR-724233,Janet Mills,Robinson Inc,us-west
DR-816275,Tom Medina,Rodriguez-Arnold,us-west
DR-760526,Alexis Smith,Edwards PLC,us-central
DR-638578,Kelly Gonzalez,"Rodriguez, Perez and Moreno",us-west
DR-826778,Hannah Carter DDS,Evans-Parker,us-central
DR-862080,Kimberly Chapman,Coleman-Bryan,us-west
DR-514654,Victoria Mendoza,Mendoza-Lucas,us-west
DR-755208,Robert Malone,Kline-Jackson,us-west
DR-403879,James Richardson,Wyatt-Martinez,us-central
DR-370976,Anthony Lucas,Floyd and Sons,us-west
DR-548180,Michelle Boyd,Johnson Ltd,us-west
DR-527050,Peter Sexton,Jenkins PLC,us-west
DR-821687,Ann Martinez,"James, Cox and Cross",us-west
DR-427449,Carlos Rodriguez,Morgan-Ramirez,us-west
DR-879676,Stephanie Ross,Preston-George,us-central
DR-905128,Mario Fuller,Black PLC,us-central
DR-234530,Andrew Hodge,"Anderson, Daniel and Davis",us-central
DR-421349,Shane Perez,Adams Ltd,us-west
DR-515647,Jennifer Mitchell,"Graves, Alvarado and Maxwell",us-west
DR-965676,Richard Chen,Villarreal-Murray,us-west
DR-746094,Ashley Porter,Miller Inc,us-central
DR-943729,Kim Wagner,Dunn Group,us-central
DR-865294,Nicole Fischer,Webb Group,us-west
DR-182310,Tracy Johnson,Hunter-Mcclain,us-central
DR-758550,Aaron Trevino,Henderson Group,us-west
DR-223976,William Meyer,Ballard-Jones,us-west
DR-234723,Wayne Moore,Cohen Ltd,us-west
DR-689465,Mrs. Melanie Everett,"Taylor, White and Duffy",us-west
DR-652511,Phillip Thomas,"Flores, Brown and Johnson",us-west
DR-954773,Stephen Hunter,Wagner-Day,us-central
DR-265517,Alicia Lee,"Miller, Arnold and Price",us-west
DR-275473,Dale Banks,"Mcclure, Gonzalez and Gay",us-west
DR-923885,Kelly Daniels,Lane-Harper,us-central
DR-767057,Kristen Campbell,Henderson-Nixon,us-west
DR-540132,Daniel Fisher,Bass LLC,us-west
DR-348707,Matthew Banks,Franklin Inc,us-central
DR-329850,Tracy Meadows,Maldonado-Bradley,us-central
DR-678643,Thomas Collins,"Hernandez, Nelson and Hendrix",us-central
DR-735485,Timothy Sanchez,Smith-Harvey,us-west
DR-986237,Sandra Miller,"Larson, Moore and Pollard",us-west
DR-978387,David Kerr,Stanley and Sons,us-central
DR-925253,Dr. Sonya Gutierrez,"Jackson, Wright and Patel",us-west
DR-944467,Lisa Perkins,"Gibson, Orozco and Johnson",us-central
DR-715248,Dawn Gillespie,Kennedy Ltd,us-central
DR-709886,Becky Mckinney,Madden-Anderson,us-central
DR-555133,Derek Lopez,Barnes-Rollins,us-west
DR-139961,Michael Henderson,"Briggs, Rodriguez and Wilkins",us-west
DR-622770,Crystal Daniels,Leon-Vasquez,us-central
DR-983714,Jamie Bennett,"Gutierrez, Newman and Watson",us-west
DR-233097,Christopher Brown,"Escobar, Prince and Le",us-west
DR-885986,Jeremiah Castillo,Mckay-Johnson,us-west
DR-446901,Justin Mcdowell,"Keller, Bass and Dunn",us-central
DR-681267,Kimberly Collins,Williamson and Sons,us-central
DR-533557,Phillip Allen,House Inc,us-central
DR-676721,Adam Perry,Gallagher LLC,us-central
DR-927979,Charles Leon,Jacobs-Mendez,us-central
DR-577079,Rebecca Kennedy,"Johnson, Nguyen and Phillips",us-west
DR-714459,Joshua Jones,Mccarthy-Serrano,us-central
DR-618126,Philip Williams,Marsh-Brock,us-central
DR-283147,Carrie Barnett,"Terrell, Scott and Wilson",us-west
DR-240126,Marissa Harris,"Wright, Hart and Frazier",us-west
DR-912750,Ryan Ball,Young-Rogers,us-west
DR-867084,Jay Arnold,Craig PLC,us-west
DR-522374,Joanne Murphy,"Martinez, Davis and Perez",us-west
DR-121348,Cody Schultz,Henderson-Miller,us-west
DR-654708,William Hall,"Miller, Davis and Schmitt",us-west
DR-710558,Leonard Williams,Wise PLC,us-central
DR-768569,Andrew Berry,Dillon Group,us-central
DR-630761,Jimmy Horne,Moore Inc,us-west
DR-525342,Michael Wright,Ford-Bryant,us-west
DR-138193,Michael Morris,"Bender, Williamson and Mccoy",us-west
DR-235581,William Powell,"Santos, Smith and Morris",us-central
DR-991116,Renee Allen,"Perry, Smith and Miranda",us-central
DR-873280,Ryan Warren MD,Hall Group,us-west
DR-279379,Chad Woods,Garrett Inc,us-central
DR-759067,Douglas Martinez,Johnson Inc,us-west
DR-777502,Jerry Contreras,Cooke-Salinas,us-west
DR-426349,William Mullins,Young Group,us-central
DR-186167,Christopher Collins,"Griffith, Herman and Wilson",us-central
DR-988813,John Clark,Lucas Ltd,us-west
DR-727564,Douglas Matthews,Wolfe Group,us-central
DR-688685,John Williams,"Garcia, Graham and Franklin",us-central
DR-433799,Glenn Wood,"Baker, Wilkerson and Allen",us-central
DR-759075,Angela Gutierrez,"Smith, Norris and Bridges",us-central
DR-999741,Danielle Clayton,"Obrien, Barnett and Howard",us-west
DR-812429,Brooke Burke,"Walter, Reyes and Nelson",us-west
DR-556572,Kenneth Williams,Ray Group,us-central
DR-530430,Terri Walker MD,Hale PLC,us-central
DR-560968,Christopher Brown,Anderson and Sons,us-west
DR-464161,Blake Jones,Clark-Costa,us-west
DR-206568,Kimberly Harrison,"Bruce, Hunt and Alexander",us-west
DR-289100,Victor Serrano,Smith Group,us-west
DR-565931,Erica Rodriguez,Thompson Group,us-west
DR-783308,Amy Brown,Reynolds and Sons,us-west
DR-733757,Patricia Kent,Byrd and Sons,us-central
DR-172031,Cassie Sparks,Brown LLC,us-central
DR-592698,Christine Johnston DVM,Randolph-Roberts,us-central
DR-353148,Elizabeth Knox,Johnson LLC,us-central
DR-404461,Lori Duarte,Webster-Barnes,us-central
DR-872148,Jennifer Whitaker,"Jones, Cummings and Lambert",us-west
DR-786831,Denise Mayer,"Hughes, Black and Pierce",us-west
DR-557071,Carl House,"Anderson, Arnold and Arroyo",us-central
DR-893569,John Martin,"Pena, Fischer and Wallace",us-west
DR-246972,Anthony Sutton,Ball Group,us-west
DR-854369,Robin Gordon,"Grant, Bass and Fischer",us-central
DR-542144,Jake Smith,"Griffin, Clay and Lewis",us-west
DR-651727,Gary Jones,Fox-Glenn,us-west
DR-612188,Elizabeth Ritter,Green Group,us-central
DR-175014,Matthew Chavez,"Garcia, Harris and Fitzgerald",us-central
DR-430024,William Morgan,Solis Ltd,us-central
DR-432994,Scott Mendoza,Young Inc,us-central
DR-769079,Nicholas Vaughn,Foster Ltd,us-central
DR-557920,James Byrd,"Blackwell, Hampton and Rhodes",us-west
DR-427316,Shannon Smith,"Rivera, Swanson and Rodgers",us-west
DR-299957,Sarah Stewart,Byrd-Mays,us-west
DR-302631,Emily Abbott,Bowman PLC,us-west
DR-152805,Brian Brock,Hunt-Shaw,us-central
DR-433006,Carlos Miller,"Montoya, Martinez and Anderson",us-west
DR-295134,Cheryl Diaz,"Salas, Evans and Schwartz",us-west
DR-364720,Daniel Singleton,"Ward, Anderson and Wright",us-west
DR-568269,Spencer Harrington,"Zamora, Kramer and Brooks",us-central
DR-219667,Kimberly Rosario DDS,Pierce Inc,us-west
DR-385713,Bonnie Blackwell,"Allen, Berry and Boone",us-central
DR-461749,Dominique Bennett,Hogan-Jackson,us-west
DR-200836,Lori Garrett,Keith PLC,us-central
DR-905777,Michael Mendez,Brown Ltd,us-central
DR-796684,William Kline,"Martinez, Griffin and Walker",us-west
DR-542698,Kathryn Brady,Miller LLC,us-west
DR-344736,Sabrina Shaw,Hall-Morse,us-central
DR-244474,Jonathan Reed,Robertson-Davis,us-west
DR-226874,Jennifer Huber,Bowen-Douglas,us-central
DR-953593,Scott Pierce,Reyes-Bell,us-central
DR-731789,Rebecca Thompson,Meyer PLC,us-west
DR-323955,Aaron Evans,"Perry, Haney and Dawson",us-west
DR-916485,Gwendolyn Taylor,Cameron Group,us-west
DR-842615,Nicole Decker,Nelson Ltd,us-central
DR-899948,Betty Monroe,Torres LLC,us-west
DR-507164,William Martinez MD,Johnson Inc,us-west
DR-617215,Joshua Rose,Cross PLC,us-west
DR-768410,Latasha Norton,Salazar Inc,us-central
DR-566218,Meghan Russell,Taylor Inc,us-west
DR-104575,Patricia Morales MD,Reyes Ltd,us-central
DR-565334,Henry Brown,Hall Group,us-central
DR-743566,Rebecca Macdonald,Mcguire-Harvey,us-west
DR-885749,Jaime Vasquez,Page Inc,us-central
DR-994495,Valerie Buchanan,"Weiss, Castro and Gray",us-west
DR-658056,Colleen Wilson,Robinson-Sharp,us-west
DR-516629,Michael Compton,Parks-Powers,us-central
DR-923950,Timothy Diaz,Nichols Group,us-central
DR-376152,Ethan Hancock,Nelson Inc,us-west
DR-994089,Lisa Welch,Horn and Sons,us-west
DR-334199,Katie English,Tucker LLC,us-west
DR-892597,Jennifer Burton,"Brown, Reeves and Chavez",us-central
DR-130249,John Steele,Anderson-Maldonado,us-west
DR-796714,Sherry Yates,"Thomas, Kelley and Sanchez",us-central
DR-935692,Joseph Franklin,Vang-Conner,us-central
DR-419860,Ashley Kramer,Brown Inc,us-west
DR-556980,Michael Fisher,Kemp-Willis,us-central
DR-531669,Valerie Ramirez,"Banks, Hawkins and Williams",us-west
DR-604626,Tyler Bowman,Snyder-Andrews,us-west
DR-219343,Bryan Holder,Austin Inc,us-west
DR-889282,Wayne Smith,Hart-Benton,us-central
DR-848412,Mary Meyers,"Cook, Gates and Collins",us-central
DR-414342,Megan Rose,"Long, Marks and Edwards",us-west
DR-338469,Nina Watts,Ramos Ltd,us-central
DR-459651,Tammy Richardson,Wilcox-Johnson,us-west
DR-634016,Matthew Walker,Sandoval-Dominguez,us-central
DR-803249,Samuel Lane,"Thompson, Fuentes and Barnes",us-central
DR-973295,Karen Morris,Velez Ltd,us-west
DR-663985,Lydia Figueroa,Patel Group,us-central
DR-674169,Matthew Santana,"Gardner, Griffin and Compton",us-west
DR-984898,Kelly Hunter,Jenkins Group,us-west
DR-457178,Leonard Harris,Silva Inc,us-central
DR-114252,Gregory Strickland,"Brown, Underwood and Gould",us-central
DR-525950,Christian Rodriguez,"Bates, Nguyen and Allen",us-west
DR-466487,Dr. Bobby Johnson V,Stein-Lynch,us-central
DR-693502,Tonya Morales,Ortega-Johnson,us-central
DR-843169,Sara Smith,"Stephens, Nelson and Hudson",us-west
DR-277485,Tyler Sutton,Hodges Group,us-west
DR-404377,Jesse Henderson,Sexton-Velez,us-central
DR-364963,Ian Richards,Thomas LLC,us-central
DR-270609,Erica Mason,Owens Group,us-west
DR-610793,Sean Miller,Nicholson Group,us-central
DR-236071,John Dodson MD,"Thompson, Ward and Chavez",us-central
DR-613561,Joseph Carr,Hoffman-Johnson,us-west
DR-930619,Allison Mitchell,Maldonado LLC,us-west
DR-812102,Thomas Whitney,Garcia Ltd,us-west
DR-816913,Marie Shelton,Mendoza-Smith,us-central
DR-317375,Meghan Lopez,Rivera-Romero,us-central
DR-680171,Carlos Suarez,Garcia and Sons,us-central
DR-990622,Jeffrey Mills,Miller LLC,us-central
DR-895513,Jennifer Miller,Lopez Inc,us-west
DR-991974,Brittney Mccarthy,Nielsen-Christensen,us-central
DR-550740,Christopher Mejia,Barnett LLC,us-west
DR-744147,Jaclyn Powers,Davis PLC,us-central
DR-665447,Shane Rodgers,Mcdowell-Allen,us-west
DR-910288,Andrew Norris,Farrell-Bryant,us-central
DR-453624,Valerie Cook,Johnson Group,us-west
DR-588013,Olivia Smith,"Gentry, Chang and Jones",us-central
DR-982179,Cynthia Cooke,Davis Ltd,us-west
DR-409023,Sarah Flores,Sanchez Inc,us-central
DR-794558,Matthew Howard,Odom-Murphy,us-west
DR-627639,Amanda Greene,"Caldwell, Vega and Garcia",us-central
DR-711629,Angela Hernandez,"Simmons, Estes and Acevedo",us-central
DR-383509,Laurie Cohen,"Reed, Rivera and Martinez",us-central
DR-163871,Christopher Barton,Morales-Watson,us-central
DR-262214,Jamie Hill,Smith-Green,us-central
DR-968603,Jonathan Buckley,Moore PLC,us-central
DR-519254,Sara Webb,Raymond-Erickson,us-west
DR-582847,Ryan Thomas,Rodriguez and Sons,us-central
DR-265868,Tina Farley,Hamilton Ltd,us-central
DR-968399,Amanda Smith,Gomez-Nolan,us-west
DR-612809,William Hayes,Travis Group,us-west
DR-464466,Luis Allen,Lara-Young,us-west
DR-647873,Crystal Wallace,Moore-Myers,us-central
DR-272506,Michael Hoffman,Bush-Peck,us-west
DR-483599,Carrie Browning,Matthews and Sons,us-central
DR-538830,Deborah Nelson,Boyd LLC,us-central
DR-263954,Michael Hamilton,Williams PLC,us-central
DR-500545,Kimberly Escobar,"Smith, Smith and Rose",us-west
DR-805688,Emily Anderson,"Williams, Kim and Ortiz",us-central
DR-710646,Matthew Allen,Mcdaniel and Sons,us-west
DR-860363,John Morton,"Johns, Martinez and Caldwell",us-central
DR-138898,Sarah Long,"Morrison, Hess and Cole",us-west
DR-940387,Faith Mercado,Hernandez LLC,us-central
DR-594841,Danielle Bond,Cook LLC,us-west
DR-660979,Luis Williams,"Leonard, Little and Fletcher",us-west
DR-150511,Donna Moss DVM,Fisher Group,us-west
DR-661899,Benjamin Livingston,Crawford-Obrien,us-central
DR-933870,Crystal Pierce,Peterson Inc,us-west
DR-449704,Andrew Murphy,"Santos, Hartman and Ho",us-west
DR-116683,Stephen Walker DVM,Wilkins Group,us-west
DR-369241,Justin Leach,"Wise, Taylor and Williams",us-west
DR-667107,Patricia Palmer,Coleman-Poole,us-central
DR-678582,Kristin Morgan,Blair-Gutierrez,us-west
DR-979709,Daniel Martinez,"Soto, Estrada and Jones",us-central
DR-815425,Laura Phillips,Smith-Mitchell,us-west
DR-480321,Daniel Reid,Woodward-Dunn,us-west
DR-782566,Brandi Rowe,Welch PLC,us-west
DR-692611,Thomas Buckley,"Green, Morris and Hansen",us-west
DR-353815,Andrea Fields,Lambert and Sons,us-central
DR-411570,Claudia Martin PhD,Barrett LLC,us-west
DR-103463,Michelle Weiss,Moore and Sons,us-central
DR-903668,Christopher Jones,Carter-Melton,us-central
DR-252057,Mary Cunningham,Gentry PLC,us-west
DR-211437,Brendan Sharp,Jones Ltd,us-west
DR-991298,Wesley Bennett,"Contreras, Gibson and Harmon",us-central
DR-160641,Mr. Caleb Singh MD,Pratt-Reyes,us-west
DR-661621,Sarah Sullivan,Clark-Wall,us-west
DR-156342,Carolyn Mendoza,"Montgomery, Walton and Hudson",us-central
DR-619512,Jason Mcknight,Garcia PLC,us-west
DR-144765,Lauren Evans,"Douglas, Lopez and Smith",us-central
DR-161530,Cindy Arnold,"Williams, Lopez and Hendricks",us-central
DR-424033,Michael Powers,Ortiz-Larson,us-west
DR-501613,Christina Thomas,"Chandler, Mathews and George",us-central
DR-162991,Andrea Richards,Brock-Marshall,us-central
DR-898455,Gregory Riley,Joyce Inc,us-west
DR-612597,George Oconnor,Hartman Ltd,us-west
DR-130919,Douglas Hodge,Gross Ltd,us-central
DR-402843,Andrew Johnson,Hart-West,us-west
DR-670488,Candice Benton,"Giles, Castillo and Jimenez",us-central
DR-904220,Patrick Sosa,Smith LLC,us-central
DR-466107,Sydney Richmond,Zimmerman Group,us-west
DR-590613,Elizabeth Jones,Blevins LLC,us-west
DR-771679,Alyssa Quinn,"Baker, Nixon and Lopez",us-central
DR-774477,David Townsend,"Hays, Contreras and Padilla",us-central
DR-362551,Alicia Quinn,Bartlett-Barker,us-central
DR-902429,Michelle Smith DDS,Bailey Ltd,us-central
DR-629702,Brianna Alvarado,Kelly and Sons,us-central
DR-583792,Ashley Johnson,"Hunt, Shaw and Alexander",us-west
DR-265082,Angela Butler,"Macias, Hill and Bradley",us-west
DR-194563,John Tate,Stephens Inc,us-west
DR-396881,Jordan Rodriguez,Price Ltd,us-central
DR-253678,Peter Hernandez,Garcia-Park,us-west
DR-695698,Tara Mccarty,"Miller, Wilson and Bartlett",us-central
DR-399606,Krystal Newman,Schneider-Bailey,us-central
DR-994305,Wendy Whitaker,Rowe-Salinas,us-central
DR-880814,Brandy Holland,Diaz LLC,us-west
DR-804107,Clinton Brown,"Zavala, Webb and Dunn",us-west
DR-961844,Darlene Garrison,Prince and Sons,us-central
DR-913638,Jessica Allen,Nichols PLC,us-central
DR-747593,Lindsey Ayala,Parrish-Brown,us-central
DR-177233,Karen Ponce,"Mcgrath, Williams and Mitchell",us-central
DR-692537,Christopher Poole,Stewart and Sons,us-central
DR-566087,Amanda Potter,"Powell, Solis and Harrell",us-west
DR-650720,Kathryn Jackson,"Williams, Anderson and Barnes",us-west
DR-474678,Sharon Huff,Norman-Salazar,us-central
DR-758310,Kimberly Vasquez,Robinson-Miller,us-central
DR-968564,Kelly Murphy,Dennis-Orozco,us-central
DR-566499,Deborah Bates,Dickerson-Harris,us-west
DR-289313,Christina Clarke,Rogers and Sons,us-west
DR-382687,Madison Hernandez,Roberson-Clark,us-central
DR-619516,Stephen Mayer,"Sullivan, Fry and Jones",us-west
DR-539790,Shannon Russell,"Matthews, Levine and Foley",us-west
DR-269928,Brianna Briggs,"Paul, Hubbard and Ferguson",us-west
DR-290165,Erin Martin,Cervantes Group,us-central
DR-110933,Alexander Jackson,"Rowe, Klein and Singh",us-central
DR-405826,Hannah Le,"White, Warner and Mathews",us-west
DR-491894,Trevor Todd,Castaneda-Vaughn,us-central
DR-730285,Juan Olsen,Jones Inc,us-west
DR-305338,Jeremiah Ryan,Coleman Ltd,us-west
DR-475872,Jason Dougherty,Castro Group,us-west
DR-442572,Michelle Oconnor DVM,"Wise, Townsend and Griffin",us-central
DR-443369,Brian Harris,French Ltd,us-west
DR-943922,Haley Duran,"Dunn, Moss and Reynolds",us-central
DR-923442,Caitlyn Lucas,"Clayton, Anderson and Walker",us-west
DR-927372,Victor Ortega,"Watts, Holmes and Bowers",us-central
DR-412052,Julia Andrade,Little Inc,us-west
DR-649089,Christine Petty,"Thomas, Meyer and Tapia",us-central
DR-591541,John Johnson,Crane-Smith,us-west
DR-710317,Todd Conner,Hawkins LLC,us-central
DR-333697,Tiffany Mccullough,"Johnston, Joyce and Kelly",us-west
DR-556070,Melissa Moore,"Contreras, Oconnor and Lee",us-central
DR-268541,Rebecca Santiago,Reid Group,us-central
DR-974213,Erika Ramirez,Kelly PLC,us-west
DR-235445,Nichole Cruz,Arellano-Wilkinson,us-west
DR-975981,Meagan Phelps,Meyers PLC,us-west
DR-185643,Jessica Holt,"Jones, Davis and Cross",us-central
DR-714217,Michelle Robertson,Martin-Warren,us-central
DR-648255,Mary Curry,Peterson-Cruz,us-west
DR-788370,Michael Gonzalez,Church PLC,us-west
DR-697364,Mandy Graham,Franklin Ltd,us-west
DR-546655,Michelle Maxwell,Franklin PLC,us-west
DR-741110,Philip Cook,Erickson-Jones,us-central
DR-611091,Cassandra Williams,Rubio-Reed,us-central
DR-697259,Heather King,"Weaver, Brown and Myers",us-west
DR-145181,Earl Hernandez,Carr-Grant,us-central
DR-731536,Ashley Wall,"Adkins, Williams and Parks",us-west
DR-649182,Rebecca King,"Murphy, Farrell and Casey",us-central
DR-209952,Caleb Phelps,Jackson-Turner,us-central
DR-985353,Alan Curry,Jimenez-Hill,us-central
DR-941581,Eric Contreras,"Davis, Munoz and Ross",us-west
DR-751734,Roy Mann,"Mitchell, Smith and Johnson",us-central
DR-734793,Bryan Morrison,Wright-Brooks,us-west
DR-837403,Emma Evans,"Patterson, Conner and Cook",us-west
DR-934603,Philip Chavez,Ramos-Mullen,us-central
DR-667388,Vanessa Flores,Brown Inc,us-central
DR-949540,Chelsea Thompson,"Pacheco, Odom and Wilson",us-central
DR-366303,Mary Lynch,Taylor-Washington,us-central
DR-516617,Steven Fritz,"Rodriguez, Huffman and Hernandez",us-central
DR-629392,Taylor Clark,Lowery-Diaz,us-central
DR-604899,Ryan Lopez,Powell LLC,us-west
DR-288494,Cynthia Nguyen,Perez-Richard,us-central
DR-209381,Christopher Ruiz,Terry-Howard,us-central
DR-961634,Mr. George Hicks Jr.,Smith PLC,us-west
DR-314754,Deborah Jennings,"Davis, Gutierrez and Shepherd",us-central
DR-449166,Elizabeth Lucero,Brown-Oneill,us-central
DR-438985,Andrew Carter,Gonzalez and Sons,us-central
DR-791590,Jason Robertson,May-Poole,us-west
DR-430685,Brandy Gonzalez,Brown-Mayer,us-central
DR-636953,Patrick Stewart,Weaver Inc,us-central
DR-172504,Daniel Mitchell,Fleming and Sons,us-central
